,demand,is,inflation,potential,policy,expectations_short,expectations_long
h,1.0,1.0,0.0,-1.0,-2.0,-2.9999999999999996,-2.0999999999999996
y,1.0,1.0,0.0,0.0,-2.0,-2.9999999999999996,-2.0999999999999996
y_potential,0.0,0.0,0.0,1.0,0.0,0.0,0.0
y_autonomous,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r_expected,0.0,0.0,0.0,0.0,1.0,1.4999999999999998,1.0499999999999998
r_cb,0.0,0.0,0.0,0.0,1.0,0.0,0.0
r_natural,0.5,0.0,0.0,-0.5,0.0,0.0,0.0
pi,0.25,0.25,0.9999999999999999,-0.24999999999999997,-0.5,0.25,0.17500000000000007
pi_expected,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.7
pi_long_run,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pi_target,0.0,0.0,0.0,0.0,0.0,0.0,0.0
