t,h,y,y_potential,y_autonomous,r_expected,r_cb,r_natural,pi,pi_expected,pi_long_run,pi_target,gamma,theta,alpha,phi_pi,phi_y,chi,eta
-1,0.0,1.0,1.0,1.1,0.05,0.05,0.050000000000000044,0.035,0.035,0.035,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
0,0.010000000000000009,1.01,1.0,1.11,0.05,0.05,0.05500000000000005,0.037500000000000006,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
1,0.0017250000000001986,1.0022250000000001,1.0005,1.11,0.053887500000000005,0.052500000000000005,0.054750000000000076,0.036356250000000055,0.035925000000000006,0.03525000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
2,0.0020458125000002436,1.0026320625,1.0005862499999998,1.11,0.05368396875000008,0.052931250000000055,0.054706875000000155,0.03601326562500008,0.03550181250000002,0.03513562500000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
3,0.0013013282812501803,1.0019898689062499,1.0006885406249997,1.11,0.05400506554687516,0.053442703125000116,0.05465572968750021,0.03570024035156258,0.035374908281250034,0.035101326562500014,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
4,0.0009330557800781847,1.0016866628191403,1.0007536070390621,1.11,0.0541566685904299,0.05376803519531266,0.05462319648046898,0.03549235287509771,0.03525908893007816,0.035070024035156265,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
5,0.0006506301999111841,1.0014508900279773,1.000800259828066,1.11,0.054274554986011435,0.05400129914033221,0.054599870085967006,0.03534482811376395,0.035182170563786155,0.03504923528750978,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
6,0.0004565360750403702,1.001289327413102,1.0008327913380617,1.11,0.054355336293449,0.05416395669031,0.054583604330969204,0.03524172042085276,0.03512758640209267,0.0350344828113764,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
7,0.00031989077289962253,1.0011755089147134,1.0008556181418138,1.11,0.05441224554264337,0.054278090709070095,0.054572190929093156,0.03516940924894043,0.035089436555715524,0.035024172042085286,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
8,0.00022421624862745126,1.0010958289290863,1.0008716126804589,1.11,0.05445208553545693,0.054358063402295,0.05456419365977061,0.03511873548426482,0.03506268142210796,0.03501694092489405,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
9,0.00015714519067233645,1.0010399686835625,1.0008828234928902,1.11,0.05448001565821884,0.054414117464451864,0.054558588253554974,0.03508321842684607,0.03504393212917799,0.03501187354842649,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
10,0.00011013926953729047,1.0010008200219611,1.0008906807524238,1.11,0.05449958998901951,0.05445340376211995,0.05455465962378814,0.03505832563531737,0.03503079081793305,0.03500832184268461,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
