t,h,y,y_potential,y_autonomous,r_expected,r_cb,r_natural,pi,pi_expected,pi_long_run,pi_target,gamma,theta,alpha,phi_pi,phi_y,chi,eta
-1,0.0,1.0,1.0,1.1,0.05,0.05,0.05,0.035,0.035,0.035,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
0,0.010000000000000009,1.01,1.0,1.11,0.05,0.05,0.05500000000000005,0.037500000000000006,0.035,0.03500000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
1,0.0017250000000001986,1.0022250000000001,1.0005,1.11,0.053887500000000005,0.052500000000000005,0.054750000000000076,0.036356250000000055,0.035925000000000006,0.03525000000000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
2,0.0020458125000000216,1.0026320625,1.00058625,1.11,0.05368396875000008,0.052931250000000055,0.054706875000000044,0.03601326562500003,0.03550181250000002,0.03513562500000001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
3,0.0013013282812499583,1.0019898689062499,1.000688540625,1.11,0.05400506554687508,0.05344270312500006,0.0546557296875001,0.0357002403515625,0.03537490828125001,0.03510132656250001,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
4,0.0009330557800781847,1.0016866628191405,1.0007536070390624,1.11,0.054156668590429745,0.05376803519531255,0.05462319648046887,0.03549235287509768,0.035259088930078133,0.03507002403515626,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
5,0.0006506301999114061,1.0014508900279775,1.000800259828066,1.11,0.05427455498601132,0.054001299140332096,0.054599870085967006,0.035344828113764,0.03518217056378615,0.03504923528750978,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
6,0.00045653607504059224,1.0012893274131023,1.0008327913380617,1.11,0.054355336293448964,0.05416395669030995,0.054583604330969204,0.03524172042085283,0.03512758640209268,0.03503448281137641,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
7,0.0003198907728994005,1.0011755089147132,1.0008556181418138,1.11,0.054412245542643414,0.054278090709070095,0.054572190929093156,0.0351694092489404,0.03508943655571555,0.03502417204208529,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
8,0.0002242162486276733,1.0010958289290863,1.0008716126804587,1.11,0.05445208553545687,0.054358063402294945,0.05456419365977072,0.03511873548426487,0.03506268142210795,0.03501694092489405,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
9,0.00015714519067233645,1.0010399686835623,1.00088282349289,1.11,0.054480015658218875,0.054414117464451864,0.054558588253555085,0.03508321842684609,0.03504393212917801,0.0350118735484265,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
10,0.00011013926953751252,1.0010008200219611,1.0008906807524236,1.11,0.054499589989019534,0.05445340376211995,0.05455465962378825,0.03505832563531744,0.03503079081793306,0.03500832184268462,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
11,7.719366988867549e-05,1.000973381385789,1.0008961877159004,1.11,0.054513309307105504,0.054480938579504326,0.054551906142049855,0.035040878902539624,0.035021580485067455,0.03500583256353175,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
12,5.410302483332963e-05,1.000954150424228,1.0009000473993948,1.11,0.054522924787885986,0.054500236996976495,0.05454997630030267,0.035028650950147996,0.035015125193939664,0.03500408789025397,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
13,3.791938832975461e-05,1.0009406719389662,1.0009027525506364,1.11,0.05452966403051697,0.05451376275318483,0.05454862372468183,0.035020080698637206,0.03501060085155477,0.03500286509501481,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
14,2.657670392536282e-05,1.0009312252239784,1.000904648520053,1.11,0.05453438738801091,0.054523242600267266,0.054547675739973545,0.03501407403447711,0.03500742985849577,0.03500200806986373,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
15,1.8626913983910143e-05,1.0009246042692332,1.0009059773552493,1.11,0.0545376978653834,0.05452988677624861,0.05454701132237538,0.03500986412125251,0.03500520739275653,0.03500140740344772,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
16,1.3055114972404525e-05,1.0009199638159207,1.0009069087009483,1.11,0.054540018092039726,0.054534543504744584,0.05454654564952588,0.03500691350360653,0.03500364972486343,0.035000986412125255,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
17,9.14998732448602e-06,1.0009167114440214,1.000907561456697,1.11,0.05454164427798931,0.054537807283487685,0.0545462192716516,0.03500484549316554,0.03500255799633442,0.03500069135036066,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
18,6.412985885662081e-06,1.0009144319419487,1.000908018956063,1.11,0.05454278402902568,0.05454009478031881,0.05454599052196851,0.03500339607894267,0.035001792832471255,0.03500048454931656,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
19,4.4946934358858215e-06,1.0009128342987932,1.0009083396053573,1.11,0.0545435828506034,0.05454169802679022,0.0545458301973214,0.03500238022256776,0.03500125654920879,0.035000339607894275,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
20,3.1502126225380067e-06,1.0009117145526516,1.000908564340029,1.11,0.054544142723674305,0.054542821700149194,0.05454571782998552,0.03500166823550571,0.03500088068235008,0.03500023802225678,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
21,2.207901319106753e-06,1.0009109297519792,1.00090872185066,1.11,0.0545445351240105,0.05454360925330483,0.05454563907467003,0.0350011692224669,0.03500061724713712,0.03500016682355058,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
22,1.547460066531059e-06,1.0009103797057926,1.000908832245726,1.11,0.05454481014710373,0.054544161228634605,0.05454558387713704,0.03500081947732939,0.035000432612312754,0.03500011692224669,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
23,1.0845741327258906e-06,1.000909994192862,1.0009089096187294,1.11,0.05454500290356905,0.05454454809365124,0.05454554519063537,0.03500057435014506,0.03500030320661188,0.03500008194773294,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
24,7.601495342068887e-07,1.0009097239969702,1.000908963847436,1.11,0.05454513800151492,0.05454481923718442,0.05454551807628205,0.035000402546937225,0.03500021250955367,0.03500005743501451,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
25,5.327688510359252e-07,1.0009095346237638,1.0009090018549127,1.11,0.05454523268811813,0.05454500927456797,0.05454549907254369,0.035000282134579536,0.03500014894236678,0.03500004025469373,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
26,3.734036999603063e-07,1.0009094018970552,1.0009090284933553,1.11,0.05454529905147237,0.05454514246678073,0.05454548575332241,0.03500019774071942,0.03500010438979443,0.03500002821345796,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
27,2.617088499246023e-07,1.0009093088723902,1.0009090471635402,1.11,0.054545345563805,0.05454523581770572,0.05454547641822993,0.03500013859127867,0.03500007316406619,0.03500001977407195,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
28,1.8342486152178594e-07,1.0009092436738443,1.0009090602489827,1.11,0.05454537816307786,0.0545453012449182,0.05454546987550868,0.03500009713498849,0.03500005127877311,0.035000013859127876,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
29,1.2855767006492158e-07,1.0009091979778957,1.0009090694202256,1.11,0.054545401011052194,0.05454534710113358,0.05454546528988724,0.03500006807936326,0.035000035939945745,0.035000009713498856,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
30,9.010269552689465e-08,1.0009091659508047,1.0009090758481092,1.11,0.05454541702459771,0.0545453792405511,0.05454546207594546,0.03500004771503829,0.03500002518936441,0.035000006807936336,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
31,6.315061384931653e-08,1.0009091435038577,1.0009090803532439,1.11,0.05454542824807122,0.05454540176622498,0.054545459823378106,0.03500003344221763,0.03500001765456417,0.035000004771503834,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
32,4.42606069572804e-08,1.0009091277713815,1.0009090835107746,1.11,0.05454543611430923,0.05454541755387844,0.054545458244612766,0.03500002343877227,0.03500001237362053,0.03500000334422177,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
33,3.1021097468553194e-08,1.0009091167449025,1.000909085723805,1.11,0.05454544162754879,0.05454542861903018,0.05454545713809755,0.03500001642762011,0.03500000867234574,0.035000002343877235,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
34,2.1741872746616764e-08,1.0009091090167326,1.0009090872748598,1.11,0.05454544549163371,0.05454543637430455,0.05454545636257013,0.03500001151368763,0.035000006078219445,0.03500000164276202,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
35,1.5238307948806096e-08,1.0009091036002613,1.0009090883619534,1.11,0.05454544819986937,0.054545441809772735,0.05454545581902337,0.03500000806964141,0.03500000426006442,0.03500000115136877,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
36,1.0680129891582624e-08,1.0009090998039987,1.0009090891238688,1.11,0.054545450098000714,0.05454544561934972,0.05454545543806566,0.035000005655799804,0.03500000298576733,0.03500000080696415,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
37,7.48542272610564e-09,1.000909097143298,1.0009090896578752,1.11,0.054545451428351086,0.054545448289382195,0.05454545517106246,0.03500000396400161,0.03500000209264593,0.03500000056557999,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
38,5.246336254316475e-09,1.0009090952784825,1.0009090900321462,1.11,0.05454545236075877,0.05454545016073788,0.05454545498392693,0.03500000277826466,0.0350000014666806,0.035000000396400166,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
